latitude,longitude,chain,tractnum,ntanum
40.7583021,-73.9737259,Pret A Manger,7,20
40.7403877,-73.9860591,Pret A Manger,2089,86
40.752327,-73.985565,Pret A Manger,1702,20
40.76256,-73.97778,Pret A Manger,8,20
40.748599,-73.989218,Pret A Manger,742,20
40.758091,-73.974556,Pret A Manger,7,20
40.7157852288347,-74.0050691539837,Pret A Manger,2035,121
40.713885,-74.010178,Pret A Manger,1998,121
40.748169,-73.993195,Pret A Manger,939,20
40.75806,-73.971603,Pret A Manger,6,21
40.7509490419435,-73.9804938071625,Pret A Manger,1429,82
40.7511019879927,-73.9933394249644,Pret A Manger,742,20
40.75413,-73.98509,Pret A Manger,12,20
40.760044,-73.972434,Pret A Manger,7,20
40.760044,-73.972434,Pret A Manger,7,20
40.7431630554409,-73.9843790978193,Pret A Manger,769,104
40.75982,-73.98735,Pret A Manger,745,20
40.715541,-74.008804,Pret A Manger,1998,121
40.71163,-74.01236,Pret A Manger,1765,40
40.7664066,-73.9797212,Le Pain Quotidien,1028,20
40.7797680795193,-73.9595351368189,Le Pain Quotidien,897,76
40.73806683682,-73.989124396566,Le Pain Quotidien,1544,104
40.721499,-74.001575,Le Pain Quotidien,1379,121
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7664066,-73.9797212,Le Pain Quotidien,1028,20
40.7725225043757,-73.9815473556519,Le Pain Quotidien,1072,100
40.732486,-73.996585,Le Pain Quotidien,940,105
40.740844539723,-73.998188893217,Le Pain Quotidien,945,104
40.7720616,-73.9564595,Le Pain Quotidien,999,148
40.7863344,-73.9762146,Le Pain Quotidien,1317,99
40.732486,-73.996585,Le Pain Quotidien,940,105
40.765318,-73.9573939,Le Pain Quotidien,1354,148
40.7326496,-73.991416,Le Pain Quotidien,794,105
40.735052,-74.005802,Le Pain Quotidien,1838,105
40.75324,-73.98455,Le Pain Quotidien,1702,20
40.75324,-73.98455,Le Pain Quotidien,1702,20
40.73806683682,-73.989124396566,Le Pain Quotidien,1544,104
40.75324,-73.98455,Le Pain Quotidien,1702,20
40.765318,-73.9573939,Le Pain Quotidien,1354,148
40.7150832563639,-74.0095067024231,Le Pain Quotidien,1998,121
40.7918,-73.97438,Le Pain Quotidien,1318,99
40.7603034973145,-73.9749755859375,Le Pain Quotidien,7,20
40.7546875,-73.9686787,Le Pain Quotidien,5,21
40.7546875,-73.9686787,Le Pain Quotidien,5,21
40.760257434551,-73.981080206038,Le Pain Quotidien,1027,20
40.7411474251275,-74.0051997689034,Le Pain Quotidien,1078,104
40.7807622,-73.9546398,Le Pain Quotidien,19,76
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7542102108724,-73.9788866043091,Le Pain Quotidien,1005,20
40.7725225043757,-73.9815473556519,Le Pain Quotidien,1072,100
40.7663330471095,-73.979585697037,Le Pain Quotidien,1028,20
40.7402742,-73.9894643,Le Pain Quotidien,769,104
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.7879733475342,-73.953396837652,Le Pain Quotidien,2037,77
40.774927,-73.9507894,Le Pain Quotidien,2001,72
40.774927,-73.9507894,Le Pain Quotidien,2001,72
40.773043,-73.974298,Le Pain Quotidien,2160,194
40.776961,-73.978498,Le Pain Quotidien,2161,100
40.7863344,-73.9762146,Le Pain Quotidien,1317,99
40.774927,-73.9507894,Le Pain Quotidien,2001,72
40.7603034973145,-73.9749755859375,Le Pain Quotidien,7,20
40.74651,-73.98107,Le Pain Quotidien,1293,82
40.7150832563639,-74.0095067024231,Le Pain Quotidien,1998,121
40.7524299,-73.97378,Le Pain Quotidien,1006,21
40.7570417595304,-73.963566910455,Le Pain Quotidien,930,21
40.72636,-73.994995,Le Pain Quotidien,1162,105
40.7402742,-73.9894643,Le Pain Quotidien,769,104
40.7402742,-73.9894643,Le Pain Quotidien,769,104
40.7658345482171,-73.9654347284287,Le Pain Quotidien,852,76
40.760627,-73.981571,Le Pain Quotidien,1027,20
